searchval,blk_no,road_name,building,address,postal,x,y,latitude,longitude,query,category
the dairy farm,9,dairy farm road,the dairy farm,9 dairy farm road the dairy farm singapore 679038,679038,20883.432080809,38542.3724519238,1.36483719024645,103.769371354168,dairy farm lane,condo
saint martin's drive,,saint martin's drive,nil,saint martin's drive,nil,27004.5815783378,32016.2790018126,1.30581843301754,103.824374589976,st. martin's drive,condo
spottiswoode 18,18,spottiswoode park road,spottiswoode 18,18 spottiswoode park road spottiswoode 18 singapore 088642,088642,28472.0209475709,28674.3665654343,1.27559528527257,103.837559859708,spottiswoode 18,condo
the poiz residences,10,meyappa chettiar road,the poiz residences,10 meyappa chettiar road the poiz residences singapore 358473,358473,31845.1912936484,34818.8137819357,1.33116326180603,103.867869780252,the poiz residences,condo
uni building,224,telok kurau road,uni building,224 telok kurau road uni building singapore 423836,423836,36621.5541585675,32640.6339360066,1.31146361071392,103.910787451343,uni building,condo
bishopsgate,,bishopsgate,nil,bishopsgate,nil,26840.0141267367,31098.898745959,1.29752121665707,103.822894820293,bishopsgate residences,condo
modena,37,simei street 4,modena,37 simei street 4 modena singapore 529870,529870,41512.482219629,36023.6802711505,1.34205685853415,103.954736264288,modena,condo
nouvelle park,133,poh huat road west,nouvelle park,133 poh huat road west nouvelle park singapore 546685,546685,32957.9402314872,38807.941834176,1.36723934516985,103.877869108023,nouvelle park,condo
kim keat house,60,kim keat road,kim keat house,60 kim keat road kim keat house singapore 328827,328827,30303.4906349685,34179.0469165631,1.32537759323296,103.85401668753,kim keat house,condo
the lilium,31,how sun road,the lilium,31 how sun road the lilium singapore 538500,538500,33284.3774696151,36436.8825309519,1.34579628007765,103.880801954328,the lilium,condo
bullion park,162,lentor loop,bullion park,162 lentor loop bullion park singapore 789095,789095,28362.4104387565,41409.4363521952,1.39076674412731,103.836575119952,bullion park,condo
pasir panjang road,,pasir panjang road,nil,pasir panjang road,nil,22558.2381189614,29292.1902928614,1.28118763392567,103.784414161809,pasir panjang road,condo
the gardens at bishan,9,sin ming walk,the gardens at bishan,9 sin ming walk the gardens at bishan singapore 575578,575578,27707.1541748606,38557.3325844854,1.36497333873933,103.830687158335,the gardens at bishan,condo
norwood grand (u/c),10,champions way,norwood grand (u/c),10 champions way norwood grand (u/c) singapore 738953,738953,23272.3982561482,45585.873917101,1.42853654796474,103.79083669818,norwood grand,condo
mayfair residences,531,east coast road,mayfair residences,531 east coast road mayfair residences singapore 429065,429065,37014.1127151661,32458.5719231423,1.3098169954035,103.914314726376,mayfair residences,condo
crystal court,456,river valley road,crystal court,456 river valley road crystal court singapore 248342,248342,27295.4655261207,30725.6435007714,1.29414630960587,103.826988034433,crystal court,condo
vida,5,peck hay road,vida,5 peck hay road vida singapore 228307,228307,28641.3470101217,32333.3137747869,1.30868551490343,103.839081390501,vida,condo
cairnhill nine,9,cairnhill road,cairnhill nine,9 cairnhill road cairnhill nine singapore 229723,229723,28459.1648333631,31758.4722793102,1.30348685424971,103.837444387582,cairnhill nine,condo
harbourlights,66,telok blangah road,harbourlights,66 telok blangah road harbourlights singapore 098830,098830,26823.2023182679,27633.9274774808,1.26618589994556,103.822744661427,harbourlights,condo
hoot kiam road,,hoot kiam road,nil,hoot kiam road,nil,27638.9170415279,31086.6587733781,1.29741131026805,103.830074078008,hoot kiam road,condo
suites 123,123,rangoon road,suites 123,123 rangoon road suites 123 singapore 218401,218401,30243.5675639361,33048.1254747845,1.31514994452974,103.853478164047,suites 123,condo
centra loft,3,lorong 35 geylang,centra loft,3 lorong 35 geylang centra loft singapore 387935,387935,34127.4709382039,33011.4172510989,1.31481743950624,103.888376977987,centra loft,condo
hillcrest park,123,hillcrest road,hillcrest park,123 hillcrest road hillcrest park singapore 288992,288992,25119.3449019287,35167.1849566083,1.33431391344832,103.807434243123,hillcrest park,condo
12 bright hill drive singapore 579655,12,bright hill drive,nil,12 bright hill drive singapore 579655,579655,27877.3729613228,37564.6417251322,1.35599579763036,103.832216694954,bright hill drive,condo
23 lorong 19 geylang singapore 388497,23,lorong 19 geylang,nil,23 lorong 19 geylang singapore 388497,388497,33098.2896635775,32864.2654831521,1.31348683922849,103.879129246123,lorong 19 geylang,condo
novena hill,33,jalan novena,novena hill,33 jalan novena novena hill singapore 308651,308651,29121.446871371,34000.8026952893,1.32376568191684,103.843395379054,jalan novena,condo
marina one residences,23,marina way,marina one residences,23 marina way marina one residences singapore 018979,018979,30267.7263788916,28854.4983284399,1.27722425616283,103.853694940241,marina one residences,condo
8 eden grove singapore 539060,8,eden grove,nil,8 eden grove singapore 539060,539060,32340.3048920566,36323.717410665,1.34477300646021,103.872318867919,8 eden grove,condo
the equatorial,151,stevens road,the equatorial,151 stevens road the equatorial singapore 257872,257872,27052.8992666695,33618.1573573779,1.32030517860825,103.82480838421,the equatorial,condo
piccadilly grand (u/c),5,northumberland road,piccadilly grand (u/c),5 northumberland road piccadilly grand (u/c) singapore 219570,219570,30110.0063325539,32566.4799184091,1.31079412179179,103.852278016349,northumberland road,condo
upper changi road north,,upper changi road north,nil,upper changi road north,nil,43726.5210817179,38405.8615147536,1.36359889649663,103.974631776257,upper changi road north,condo
kembangan suites,16,jalan masjid,kembangan suites,16 jalan masjid kembangan suites singapore 418941,418941,36837.3865240803,33601.4221589137,1.32015257058639,103.912727083961,kembangan suites,condo
onan suites,215,onan road,onan suites,215 onan road onan suites singapore 424597,424597,35427.8159054415,32680.7938600183,1.3118271135396,103.900061145388,onan suites,condo
cliveden at grange,104,grange road,cliveden at grange,104 grange road cliveden at grange singapore 249593,249593,27205.4853484137,31323.7383142002,1.29955526651349,103.82617950871,cliveden at grange,condo
katong gardens,235,tembeling road,katong gardens,235 tembeling road katong gardens singapore 423720,423720,36048.3613298973,32341.1187376026,1.30875505812227,103.905636959211,katong gardens,condo
jupiter 18,18,lorong 102 changi,jupiter 18,18 lorong 102 changi jupiter 18 singapore 426608,426608,35471.7477347804,33100.8756390344,1.31562617162614,103.900455995607,jupiter 18,condo
pinehurst condominium,132,lorong l telok kurau,pinehurst condominium,132 lorong l telok kurau pinehurst condominium singapore 425569,425569,37111.1939434614,32725.5979823805,1.31223185388565,103.915187125833,pinehurst condominium,condo
leedon residence,22,leedon heights,leedon residence,22 leedon heights leedon residence singapore 266219,266219,24529.1623210507,32948.4517028797,1.31424841580853,103.802131366017,leedon residence,condo
dorset road,,dorset road,nil,dorset road,nil,29920.3502587568,32875.5164475722,1.31358896928795,103.85057390566,dorset road,condo
watercrest,123,loyang besar close,watercrest,123 loyang besar close watercrest singapore 509027,509027,41806.5905572968,39971.8761723116,1.37776271751871,103.957380821299,watercrest,condo
